ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual
1A450B04A2EA74C3,classic_bike,2021-02-22 14:35,2021-02-22 14:58,Damen Ave & Cortland St,13133,Rush St & Superior St,15530,41.915983,-87.677335,41.89576475,-87.62590803,member
60B2EB910325DE0C,docked_bike,2021-02-27 16:13,2021-02-27 16:32,Clark St & Armitage Ave,13146,Rush St & Superior St,15530,41.918306,-87.636282,41.895765,-87.625908,casual
2D5A5055572F29F9,classic_bike,2021-02-03 8:41,2021-02-03 8:47,Michigan Ave & 8th St,623,Wabash Ave & Adams St,KA1503000015,41.872773,-87.623981,41.87947235,-87.62568861,member
79C101C4BBFB2782,classic_bike,2021-02-01 16:09,2021-02-01 16:15,Michigan Ave & 8th St,623,Wabash Ave & Adams St,KA1503000015,41.872773,-87.623981,41.87947235,-87.62568861,member
3C9A9980F0D691C4,classic_bike,2021-02-04 6:48,2021-02-04 6:54,Loomis St & Jackson Blvd,13206,Paulina St & Flournoy St,KA1504000104,41.877945,-87.662007,41.87295,-87.66913,member
BBC62E39EDB3F5FF,classic_bike,2021-02-11 13:08,2021-02-11 13:17,Broadway & Ridge Ave,15578,Winchester (Ravenswood) Ave & Balmoral Ave,KA1504000147,41.98404461,-87.66027383,41.979762,-87.67753,member
87ECB2A96E6808B2,classic_bike,2021-02-28 19:16,2021-02-28 19:57,Clinton St & Madison St,TA1305000032,Dearborn St & Adams St,TA1305000005,41.882242,-87.641066,41.87935636,-87.62979104,member
A164800246059225,classic_bike,2021-02-05 11:50,2021-02-05 11:55,LaSalle St & Adams St,KA1503000034,State St & Randolph St,TA1305000029,41.87934437,-87.63198522,41.8847302,-87.62773357,member
35D9382A23E0ACE2,classic_bike,2021-02-28 16:48,2021-02-28 16:58,Indiana Ave & Roosevelt Rd,SL-005,State St & Randolph St,TA1305000029,41.867888,-87.623041,41.8847302,-87.62773357,member
6C4D77F52BF061A6,classic_bike,2021-02-01 23:10,2021-02-01 23:16,Lake Park Ave & 53rd St,KA1503000059,Lake Park Ave & 56th St,TA1309000063,41.79949429,-87.5864499,41.793242,-87.587782,member
D595CB0662B4A819,classic_bike,2021-02-26 16:05,2021-02-26 16:12,Michigan Ave & Lake St,TA1305000011,State St & Randolph St,TA1305000029,41.886024,-87.624117,41.8847302,-87.62773357,casual
E2BC31FABC70E4D0,classic_bike,2021-02-25 17:28,2021-02-25 18:10,Wacker Dr & Washington St,KA1503000072,Lake Park Ave & 56th St,TA1309000063,41.883132,-87.637321,41.793242,-87.587782,member
ADAF54B88350168E,classic_bike,2021-02-04 10:13,2021-02-04 10:19,State St & Pearson St,TA1307000061,State St & Randolph St,TA1305000029,41.897448,-87.628722,41.8847302,-87.62773357,member
ED313B35173927BB,classic_bike,2021-02-01 11:22,2021-02-01 11:31,Wells St & Polk St,SL-011,State St & Randolph St,TA1305000029,41.872596,-87.633502,41.8847302,-87.62773357,member
54D7BB2CFD418632,electric_bike,2021-02-23 19:40,2021-02-23 19:54,Wabash Ave & 9th St,TA1309000010,State St & Randolph St,TA1305000029,41.8702615,-87.62538517,41.88445183,-87.6274395,casual
8CCD4F176577CE28,classic_bike,2021-02-05 23:15,2021-02-05 23:22,Field Blvd & South Water St,15534,State St & Randolph St,TA1305000029,41.88634906,-87.61751655,41.8847302,-87.62773357,member
A9B7EDB1720758D4,classic_bike,2021-02-12 18:24,2021-02-12 18:33,Field Blvd & South Water St,15534,State St & Randolph St,TA1305000029,41.88634906,-87.61751655,41.8847302,-87.62773357,member
F5FEFB1587E75036,classic_bike,2021-02-26 19:19,2021-02-26 19:28,Field Blvd & South Water St,15534,State St & Randolph St,TA1305000029,41.88634906,-87.61751655,41.8847302,-87.62773357,member
ADE82BA0E58F0BD7,classic_bike,2021-02-26 16:55,2021-02-26 17:14,Clarendon Ave & Leland Ave,TA1307000119,Clarendon Ave & Leland Ave,TA1307000119,41.967968,-87.650001,41.967968,-87.650001,casual
EF70EAAD2F809047,classic_bike,2021-02-27 11:32,2021-02-27 11:33,State St & Randolph St,TA1305000029,State St & Randolph St,TA1305000029,41.8847302,-87.62773357,41.8847302,-87.62773357,member
FDFF97E894194BDB,classic_bike,2021-02-22 18:34,2021-02-22 18:55,Lake Park Ave & 56th St,TA1309000063,Lake Park Ave & 56th St,TA1309000063,41.793242,-87.587782,41.793242,-87.587782,casual
392D3DC04E0FC264,classic_bike,2021-02-06 18:08,2021-02-06 18:09,State St & Randolph St,TA1305000029,State St & Randolph St,TA1305000029,41.8847302,-87.62773357,41.8847302,-87.62773357,member
276A91E1D0DDDC04,classic_bike,2021-02-15 5:52,2021-02-15 5:55,State St & Randolph St,TA1305000029,State St & Randolph St,TA1305000029,41.8847302,-87.62773357,41.8847302,-87.62773357,member
B1BBC34772C04516,classic_bike,2021-02-18 6:40,2021-02-18 7:23,Lake Park Ave & 56th St,TA1309000063,Lake Park Ave & 56th St,TA1309000063,41.793242,-87.587782,41.793242,-87.587782,member
EC26377914E79C89,classic_bike,2021-02-21 17:12,2021-02-21 17:47,Clarendon Ave & Leland Ave,TA1307000119,Clarendon Ave & Leland Ave,TA1307000119,41.967968,-87.650001,41.967968,-87.650001,member
4F2906C9C69F6087,classic_bike,2021-02-26 13:09,2021-02-26 13:09,Lake Park Ave & 56th St,TA1309000063,Lake Park Ave & 56th St,TA1309000063,41.793242,-87.587782,41.793242,-87.587782,member
745BCEC8943619DD,classic_bike,2021-02-15 6:33,2021-02-15 6:33,Lake Park Ave & 56th St,TA1309000063,Lake Park Ave & 56th St,TA1309000063,41.793242,-87.587782,41.793242,-87.587782,member
8555029D85CDA86C,classic_bike,2021-02-02 11:20,2021-02-02 11:28,Rush St & Cedar St,KA1504000133,State St & Randolph St,TA1305000029,41.9023087,-87.62769053,41.8847302,-87.62773357,member
